customer_id,full_name,email,total_revenue
89,Customer 89,user89@mail.com,2926.1
43,Customer 43,user43@mail.com,2203.12
161,Customer 161,user161@mail.com,1991.36
4,Customer 4,user4@mail.com,1892.72
156,Customer 156,user156@mail.com,1044.81
57,Customer 57,user57@mail.com,910.33
166,Customer 166,user166@mail.com,905.45
127,Customer 127,user127@mail.com,721.16
83,Customer 83,user83@mail.com,507.09
153,Customer 153,user153@mail.com,474.18
95,Customer 95,user95@mail.com,419.09
56,Customer 56,user56@mail.com,193.2
147,Customer 147,user147@mail.com,186.28
182,Customer 182,user182@mail.com,51.78
