source_file,source_row_number,record_key,invalid_reasons,processed_at,raw_customer_id,raw_full_name,raw_email,raw_city,raw_country,raw_created_at,raw_status
customers_raw.csv,2,1,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,1,Customer 1,user1@mail.com,Ferizaj,Albania,2026-01-02,blocked
customers_raw.csv,3,2,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,2,Customer 2,user2@mail.com,Prishtina,Kosovo,2026-01-03,unknown
customers_raw.csv,4,3,country is required; customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,3,Customer 3,user3@mail.com,prishtina,,2026-01-04,unknown
customers_raw.csv,6,5,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,5,Customer 5,user5@mail.com,prishtina,North Macedonia,2026-01-06,blocked
customers_raw.csv,9,8,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,8,Customer 8,user8@mail.com,prishtina,Albania,2026-01-09,unknown
customers_raw.csv,11,10,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,10,Customer 10,user10@mail.com,Peja,Kosovo,2026-01-11,unknown
customers_raw.csv,12,11,country is required; customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,11,Customer 11,user11@mail.com,Prizren,,2026-01-12,blocked
customers_raw.csv,13,12,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,12,Customer 12,user12@mail.com,Prizren,Kosovo,2026-01-13,unknown
customers_raw.csv,15,14,country is required,2026-08-06T09:37:35.194035Z,14,Customer 14,user14@mail.com,Peja,,2026-01-15,ACTIVE
customers_raw.csv,16,15,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,15,Customer 15,user15@mail.com,Vushtrri,Kosovo,2026-01-16,unknown
customers_raw.csv,17,16,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,16,Customer 16,user16@mail.com,Prishtina,Albania,2026-01-17,blocked
customers_raw.csv,19,18,email is invalid,2026-08-06T09:37:35.194035Z,18,Customer 18,user18 mail.com, Gjakova ,North Macedonia,2026-01-19,Active
customers_raw.csv,21,20,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,20,Customer 20,user20@mail.com,Peja,Kosovo,2026-01-21,unknown
customers_raw.csv,23,22,email is invalid; country is required; customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,22,Customer 22,user22mail.com, Gjakova ,,2026-01-23,unknown
customers_raw.csv,24,23,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,23,Customer 23,user23@mail.com,prishtina,Kosovo,2026-01-24,unknown
customers_raw.csv,26,25,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,25,Customer 25,user25@mail.com,Prizren,North Macedonia,2026-01-26,blocked
customers_raw.csv,27,26,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,26,Customer 26,user26@mail.com,Prishtina,Kosovo,2026-01-27,unknown
customers_raw.csv,28,27,full_name is required; country is required,2026-08-06T09:37:35.194035Z,27,,user27@mail.com,Ferizaj,,2026-01-28,Active
customers_raw.csv,30,29,country is required; customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,29,Customer 29,user29@mail.com,prishtina,,2026-01-02,blocked
customers_raw.csv,32,31,country is required; created_at is invalid; customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,31,Customer 31,user31@mail.com, Gjakova ,,2026-15-99,blocked
customers_raw.csv,33,32,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,32,Customer 32,user32@mail.com,Ferizaj,Kosovo,2026-01-05,blocked
customers_raw.csv,34,33,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,33,Customer 33,user33@mail.com,Ferizaj,Albania,2026-01-06,unknown
customers_raw.csv,36,35,country is required,2026-08-06T09:37:35.194035Z,35,Customer 35,user35@mail.com,Peja,,2026-01-08,active
customers_raw.csv,37,36,email is invalid; customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,36,Customer 36,user36 mail.com,Peja,North Macedonia,2026-01-09,blocked
customers_raw.csv,39,38,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,38,Customer 38,user38@mail.com, Gjakova ,North Macedonia,2026-01-11,unknown
customers_raw.csv,40,39,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,39,Customer 39,user39@mail.com,Gjilan,Albania,2026-01-12,blocked
customers_raw.csv,41,39,country is required; customer status 'blocked' is invalid; duplicate customer_id '39',2026-08-06T09:37:35.194035Z,39,Customer 40,user40@mail.com,Vushtrri,,2026-01-13,blocked
customers_raw.csv,45,44,email is invalid; customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,44,Customer 44,user44mail.com,Prishtina,North Macedonia,2026-01-17,unknown
customers_raw.csv,46,45,country is required,2026-08-06T09:37:35.194035Z,45,Customer 45,user45@mail.com,Prizren,,2026-01-18,Active
customers_raw.csv,47,46,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,46,Customer 46,user46@mail.com,Prishtina,Albania,2026-01-19,blocked
customers_raw.csv,48,47,country is required; customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,47,Customer 47,user47@mail.com,Vushtrri,,2026-01-20,unknown
customers_raw.csv,49,48,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,48,Customer 48,user48@mail.com,Ferizaj,Albania,2026-01-21,unknown
customers_raw.csv,50,49,customer status 'unknown' is invalid,2026-08-06T09:37:35.194035Z,49,Customer 49,user49@mail.com,Prishtina,North Macedonia,2026-01-22,unknown
customers_raw.csv,51,50,customer status 'blocked' is invalid,2026-08-06T09:37:35.194035Z,50,Customer 50,user50@mail.com,Mitrovica,North Macedonia,2026-01-23,blocked
